"Name","State","Notes","User","Tags","Created","Runtime","Sweep","SwitchAutoEncoder-0.activation_dim","SwitchAutoEncoder-0.auxk_alpha","SwitchAutoEncoder-0.decay_start","SwitchAutoEncoder-0.device","SwitchAutoEncoder-0.dict_class","SwitchAutoEncoder-0.dict_size","SwitchAutoEncoder-0.experts","SwitchAutoEncoder-0.heaviside","SwitchAutoEncoder-0.k","SwitchAutoEncoder-0.layer","SwitchAutoEncoder-0.lb_alpha","SwitchAutoEncoder-0.lm_name","SwitchAutoEncoder-0.seed","SwitchAutoEncoder-0.steps","SwitchAutoEncoder-0.trainer","SwitchAutoEncoder-0.wandb_name","SwitchAutoEncoder-1.activation_dim","SwitchAutoEncoder-1.auxk_alpha","SwitchAutoEncoder-1.decay_start","SwitchAutoEncoder-1.device","SwitchAutoEncoder-1.dict_class","SwitchAutoEncoder-1.dict_size","SwitchAutoEncoder-1.experts","SwitchAutoEncoder-1.heaviside","SwitchAutoEncoder-1.k","SwitchAutoEncoder-1.layer","SwitchAutoEncoder-1.lb_alpha","SwitchAutoEncoder-1.lm_name","SwitchAutoEncoder-1.seed","SwitchAutoEncoder-1.steps","SwitchAutoEncoder-1.trainer","SwitchAutoEncoder-1.wandb_name","SwitchAutoEncoder-0/auxk_loss","SwitchAutoEncoder-0/cossim","SwitchAutoEncoder-0/dead_features","SwitchAutoEncoder-0/effective_l0","SwitchAutoEncoder-0/frac_alive","SwitchAutoEncoder-0/frac_recovered","SwitchAutoEncoder-0/frac_variance_explained","SwitchAutoEncoder-0/l0","SwitchAutoEncoder-0/l1_loss","SwitchAutoEncoder-0/l2_loss","SwitchAutoEncoder-0/l2_ratio","SwitchAutoEncoder-0/lb_loss","SwitchAutoEncoder-0/loss","SwitchAutoEncoder-0/loss_original","SwitchAutoEncoder-0/loss_reconstructed","SwitchAutoEncoder-0/loss_zero","SwitchAutoEncoder-0/mse_loss","SwitchAutoEncoder-1/auxk_loss","SwitchAutoEncoder-1/cossim","SwitchAutoEncoder-1/dead_features","SwitchAutoEncoder-1/effective_l0","SwitchAutoEncoder-1/frac_alive","SwitchAutoEncoder-1/frac_recovered","SwitchAutoEncoder-1/frac_variance_explained","SwitchAutoEncoder-1/l0","SwitchAutoEncoder-1/l1_loss","SwitchAutoEncoder-1/l2_loss","SwitchAutoEncoder-1/l2_ratio","SwitchAutoEncoder-1/lb_loss","SwitchAutoEncoder-1/loss","SwitchAutoEncoder-1/loss_original","SwitchAutoEncoder-1/loss_reconstructed","SwitchAutoEncoder-1/loss_zero","SwitchAutoEncoder-1/mse_loss"
"brisk-wind-12","finished","-","","","2024-07-15T04:06:18.000Z","48543","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","30","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","100","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0","0.9615880250930786","0","64","0.00004069010537932627","0.9919931888580322","0.9878843426704408","190.793212890625","630.3182373046875","31.920333862304688","0.9614310264587402","1.004896879196167","24256.919921875","3.3303747177124023","3.442744016647339","17.364582061767578","1104.316650390625","0","0.9611616730690002","0","64","0.00004069010537932627","0.9919031858444214","0.9807554483413696","189.3240966796875","603.938232421875","32.114830017089844","0.9607175588607788","1.00439715385437","78245.515625","3.26992130279541","3.3859479427337646","17.59981346130371","1113.3736572265625"
"twilight-smoke-11","finished","-","","","2024-07-15T04:05:55.000Z","49603","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","10","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0","0.9618014097213744","0","64","0.00004069010537932627","0.992580771446228","0.9879281520843506","192.181396484375","627.9943237304688","31.85874938964844","0.9614080190658568","1.006411910057068","3417.83837890625","3.3303747177124023","3.434497833251953","17.364582061767578","1100.3280029296875","1.0565664609885063e-7","0.9612401723861694","1","64","0.00004069010537932627","0.9917388558387756","0.9808149933815002","192.4041748046875","602.8857421875","32.04371643066406","0.9608442783355712","1.005279541015625","8823.8857421875","3.26992130279541","3.388302803039551","17.59981346130371","1109.9283447265625"
"rose-pyramid-10","finished","-","","","2024-07-15T04:05:03.000Z","52032","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00004090598304173909","0.9611539840698242","459","64","0.00004069010537932627","0.9921094179153442","0.9877175688743592","196.060302734375","631.9581298828125","32.117313385009766","0.9608393311500548","1.2081832885742188","1398.68798828125","3.3303747177124023","3.4411120414733887","17.364582061767578","1119.5216064453125","0.000016517366020707414","0.9612852334976196","156","64","0.00004069010537932627","0.9916479587554932","0.980819821357727","193.471435546875","599.7509765625","32.027870178222656","0.9609912037849426","1.0188252925872805","1881.32568359375","3.26992130279541","3.389605760574341","17.59981346130371","1109.653564453125"
"efficient-moon-9","finished","-","","","2024-07-15T04:02:56.000Z","48043","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.03","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00004211913255858235","0.9575635194778442","3273","64","0.00004069010537932627","0.990352988243103","0.9866284132003784","204.0135498046875","644.5570068359375","33.39435577392578","0.9575543403625488","2.4122743606567383","1279.1512451171875","3.3303747177124023","3.4657628536224365","17.364582061767578","1218.798095703125","0.00004141994213568978","0.9586918950080872","2699","64","0.00004069010537932627","0.9907837510108948","0.9796005487442015","199.4803466796875","610.6923828125","32.970909118652344","0.9587936401367188","1.613178849220276","1299.886474609375","3.26992130279541","3.401989459991455","17.59981346130371","1180.1849365234375"
"desert-river-8","finished","-","","","2024-07-15T04:02:30.000Z","47486","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.003","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.01","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.000042611820390447974","0.9563637971878052","3455","64","0.00004069010537932627","0.9899044036865234","0.9862629175186156","208.0623779296875","650.58642578125","33.834896087646484","0.956268072128296","3.024167537689209","1257.7642822265625","3.3303747177124023","3.472058057785034","17.364582061767578","1252.1070556640625","0.00004278215783415362","0.9552708268165588","4245","64","0.00004069010537932627","0.990108072757721","0.9779052734375","209.2337646484375","628.7354125976562","34.19704055786133","0.9550354480743408","3.1541318893432617","1287.143798828125","3.26992130279541","3.4116718769073486","17.59981346130371","1278.265380859375"
"robust-star-7","finished","-","","","2024-07-15T04:02:19.000Z","47634","","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:4","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","32","false","64","8","0.001","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00004268306656740606","0.9564440250396729","3497","64","0.00004069010537932627","0.9899935722351074","0.98627507686615","208.643798828125","651.5284423828125","33.818626403808594","0.95646870136261","3.0962271690368652","1253.03857421875","3.3303747177124023","3.470806837081909","17.364582061767578","1251.002197265625","0.00004283213638700545","0.9555025100708008","3190","64","0.00004069010537932627","0.9899663925170898","0.978041172027588","209.804931640625","628.898681640625","34.107643127441406","0.955425262451172","3.1933343410491943","1261.3326416015625","3.26992130279541","3.4137017726898193","17.59981346130371","1270.413330078125"
"amber-donkey-4","finished","-","","","2024-07-15T02:13:45.000Z","42505","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","30","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","100","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0","0.963811457157135","0","64","0.00004069010537932627","0.9927293062210084","0.9885592460632324","209.521484375","617.6492919921875","31.096099853515625","0.9634875059127808","1.0018551349639893","24125.958984375","3.3303747177124023","3.432413339614868","17.364582061767578","1042.808837890625","0","0.963537335395813","0","64","0.00004069010537932627","0.992798924446106","0.98192298412323","207.67333984375","590.848388671875","31.193525314331055","0.9635153412818908","1.002246618270874","78009.3125","3.26992130279541","3.373112201690674","17.59981346130371","1045.8408203125"
"devoted-cloud-6","finished","-","","","2024-07-15T02:13:45.000Z","42977","","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:6","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","10","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0","0.963937759399414","0","64","0.00004069010537932627","0.9931640625","0.9886012673377992","210.771240234375","616.597412109375","31.037282943725582","0.9640493988990784","1.0035054683685305","3352.21728515625","3.3303747177124023","3.4263112545013428","17.364582061767578","1038.974609375","0","0.9634405374526978","0","64","0.00004069010537932627","0.9926608204841614","0.9818792343139648","209.5888671875","589.231201171875","31.218090057373047","0.9629772901535034","1.0017708539962769","8728.74609375","3.26992130279541","3.3750908374786377","17.59981346130371","1048.355224609375"
"dark-silence-4","finished","-","","","2024-07-15T02:13:45.000Z","46300","","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","0.3","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:5","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.00003830546484095976","0.9636592864990234","513","64","0.00004069010537932627","0.9926273822784424","0.9884824752807616","211.88671875","619.0208740234375","31.16931533813477","0.9633616209030152","1.1613885164260864","1311.6219482421875","3.3303747177124023","3.4338433742523193","17.364582061767578","1049.7974853515625","9.896483987859028e-8","0.9637523889541626","1","64","0.00004069010537932627","0.9929956793785096","0.982033371925354","210.695556640625","588.4590454101562","31.088171005249023","0.963269293308258","1.009924292564392","1803.7572021484375","3.26992130279541","3.370293140411377","17.59981346130371","1039.455810546875"
"iconic-meadow-3","finished","-","","","2024-07-15T02:10:59.000Z","47427","","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","0.03","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","768","0.03125","80000","cuda:7","dictionary_learning.trainers.switch.SwitchAutoEncoder","24576","16","false","64","8","0.1","openai-community/gpt2","0","100000","dictionary_learning.trainers.switch.SwitchTrainer","SwitchAutoEncoder","0.000039982725866138935","0.9603915214538574","5384","64","0.00004069010537932627","0.9917489886283876","0.9875105619430542","220.3326416015625","631.2528076171875","32.475975036621094","0.9604043960571288","2.0117127895355225","1185.4871826171875","3.3303747177124023","3.4461708068847656","17.364582061767578","1138.3935546875","0.00003931746687158011","0.9609799981117249","3802","64","0.00004069010537932627","0.9916645884513856","0.980682909488678","218.281982421875","597.1995849609375","32.20783996582031","0.960545778274536","1.6560075283050537","1229.093994140625","3.26992130279541","3.38936710357666","17.59981346130371","1117.57470703125"
